vfg_id,vfid,gene,category
VFG034795,,(espN) Type III secretion system effector EspN,Unknown
VFG034832,,(espR4) Type III secretion system effector espR4,Unknown
VFG034842,,(espW) Type III secretion system effector EspW,Unknown
VFG034997,,(nleG2-4) DUF1076 domain-containing protein,Unknown
VFG035055,,(nleG8-2) DUF1076 domain-containing protein,Unknown
VFG042849,,(pilE3/pilV) prepilin-type N-terminal cleavage/methylation domain-containing protein,Unknown
VFG000342,,(hitA) iron ABC transporter substrate-binding protein,Unknown
VFG013357,,(orfE) lipopolysaccharide biosynthesis protein,Unknown
VFG013395,,(HI_RS05585*) phosphoethanolamine transferase,Unknown
VFG013604,,(hgbA) TonB-dependent hemoglobin/transferrin/lactoferrin family receptor,Unknown
VFG000281,,(cag2) type IV secretion system protein Cag2,Unknown
VFG000319,,(wbpB) lipopolysaccharide biosynthesis protein,Unknown
VFG006607,,(fliP) flagellar biosynthetic protein FliP,Unknown
VFG006691,,(flgB) flagellar basal body rod protein FlgB,Unknown
VFG045311,,(LPG_RS03785*) right-handed parallel beta-helix repeat-containing protein,Unknown
VFG045322,,(LPG_RS03840*) glycosyltransferase family 2 protein,Unknown
VFG002394,,(esxM) unknown protein,Unknown
VFG000224,,(pilS) pilin,Unknown
VFG000226,,(pilS) pilin,Unknown
VFG000229,,(pilS) pilin,Unknown
VFG000231,,(pilC) pilus assembly protein,Unknown
VFG000248,,(lgtG) glycosyltransferase family 4 protein,Unknown
VFG000251,,(siaD/synD) polysialic acid capsule biosynthesis protein SiaD; disrupted by foreign ermC cassette,Unknown
VFG006217,,(opa) outer membrane beta-barrel protein,Unknown
VFG000113,,(pilC) still frameshift type 4 fimbrial biogenesis protein PilC,Unknown
VFG042884,,(pilN) PilN family type IVB pilus formation outer membrane protein,Unknown
VFG002056,,(gspM) general secretion pathway protein M,Unknown
VFG012865,,(ipaH) invasion plasmid antigen IpaH,Unknown
VFG013066,,(shuW) heme anaerobic degradation radical SAM methyltransferase ChuW/HutW,Unknown
VFG049900,,(tssM) Type VI secretion system protein TssM,Unknown
VFG049904,,(clpV/tssH) Type VI secretion system ATPase ClpV/TssH,Unknown
VFG049906,,(tssK) Type VI secretion system protein TssK,Unknown
VFG049912,,(tssC) Type VI secretion system protein TssC,Unknown
VFG001297,,(capA) capsular polysaccharide type 5/8 biosynthesis protein CapA,Unknown
VFG005653,,(nanA) neuraminidase A,Unknown
VFG042971,,(pitA) minor pilin PitA,Unknown
VFG042975,,"(srtG2) surface protein cell wall anchor, sortase_B family",Unknown
